,,Ozu-1,Description,Notes
Development phase,Initial capital required,"¥35,000,000","Land, building, renovation, furniture, appliances and related costs",Managed by J Estate Co. Ltd.
,,,,
Sales phase,Sale price,"¥45,600,000",,Consumption tax included
,Guaranteed investor interest income (5% p.a.),"¥1,750,000",,
,Agency commission,"¥1,368,000",,3% of sale price (MasterHouse Real Estate / excl. consumption tax)
,Travel expenses 1,"¥300,000","3 trips (property introduction, contract signing, handover) · ¥100,000 per trip (flights, hotel, car rental)",J Estate Co. Ltd.
,Travel expenses 2,"¥120,000",1 trip (property introduction) · ¥120,000 per trip (flights and hotel),MoreHarvest
,Entertainment expenses 1,"¥150,000",Sales-related hospitality,J Estate Co. Ltd.
,Entertainment expenses 2,"¥150,000",Sales-related hospitality,MoreHarvest
,Sales-related expenses,"¥800,000","Leasing agent fees, advertising, transportation and other actual costs",Estimate (J Estate Co. Ltd.)
,Sales support — Taiwan,"¥456,000","Taiwan-side sales support including briefing sessions, backend data system management and maintenance (1% of sale price)",MoreHarvest
,Sales support — Japan,"¥501,600",Kumamoto-side property tours and briefings (1% of sale price),J Estate Co. Ltd.
,Profit (pre-tax),"¥5,004,400",,
,Corporate tax,"¥1,751,540",Japan corporate tax,
,Property warranty,"¥1,368,000",10-year property warranty (3% of base price),J Estate Co. Ltd.
,Net profit,"¥1,884,860",,J Estate Co. Ltd. and MoreHarvest
,ROI (1 unit / year),5.00%,,Investor return
,ROI (1.5 units / year),7.50%,,Investor return
,ROI (2 units / year),10.00%,,Investor return
,,,,
,,,,
Rental yield,Rent (high),"¥190,000",,
,Yield,5.00%,,
,Rent (average),"¥160,000",,
,Yield,4.21%,,
